size	self.epochs	time_taken	cost
70000	0	0:00:27.631953	0
70000	4	0:00:29.511386	2.71930909627191
70000	8	0:00:30.126405	2.4228553124550136
70000	12	0:00:30.757492	2.158605293773291
70000	16	0:00:31.379771	1.9514578788431682
70000	20	0:00:31.997016	1.786899308167833
70000	24	0:00:32.611880	1.6644823276313243
70000	28	0:00:33.226291	1.5527857013672361
70000	32	0:00:33.841979	1.4696719994475098
70000	36	0:00:34.459043	1.3981119329416287
70000	40	0:00:35.078600	1.336654656243552
70000	44	0:00:35.692528	1.284354649105751
70000	48	0:00:36.304724	1.231430131364003
70000	52	0:00:36.917437	1.1745121005898238
70000	56	0:00:37.534880	1.1303089844664471
70000	60	0:00:38.153619	1.0896000025104855
70000	64	0:00:38.770197	1.0419122512826313
70000	68	0:00:39.383489	0.9960975394804922
70000	72	0:00:39.998113	0.9616629327117564
70000	76	0:00:40.612519	0.9102796622531618
70000	80	0:00:41.227320	0.8718443610057893
70000	84	0:00:41.841708	0.8279030120028922
70000	88	0:00:42.454964	0.7888002417744573
70000	92	0:00:43.067288	0.747508224984539
70000	96	0:00:43.681141	0.7058133439627392
70000	100	0:00:44.297917	0.6687881320853266
70000	104	0:00:46.303189	0.6283822452686851
70000	108	0:00:46.963613	0.5878017146150694
70000	112	0:00:47.578235	0.5491557327987078
70000	116	0:00:48.191306	0.5114844004917509
70000	120	0:00:48.808984	0.4733820684346209
70000	124	0:00:49.420742	0.43426841920044407
70000	128	0:00:50.033015	0.40286552913805
70000	132	0:00:50.643985	0.364265418911971
70000	136	0:00:51.260674	0.3305656879149921
70000	140	0:00:51.875461	0.294696569400672
70000	144	0:00:52.531038	0.263979020302343
70000	148	0:00:53.150374	0.23487728171328717
70000	152	0:00:53.757367	0.20411652244377143
70000	156	0:00:54.366181	0.1772555839345172
70000	160	0:00:54.978263	0.14828784114607169
70000	164	0:00:55.587595	0.12600320858431674
70000	168	0:00:56.197059	0.09997720553058892
70000	172	0:00:56.812727	0.07867841321560697
70000	176	0:00:57.423718	0.05795579987074243
70000	180	0:00:58.033331	0.040323242771307166
70000	184	0:00:58.638604	0.023406544990098938
70000	188	0:00:59.244734	0.007232169281996493
70000	192	0:00:59.855106	-0.004062172639002436
70000	196	0:01:00.466880	-0.016322368943207252
70000	200	0:01:01.076289	-0.027343996894735687
70000	204	0:01:03.056389	-0.0325347164798098
70000	208	0:01:03.696657	-0.03153111543707882
70000	212	0:01:04.304187	-0.030731278306228082
70000	216	0:01:04.909261	-0.034718764940909363
70000	220	0:01:05.522028	-0.034580597050094884
70000	224	0:01:06.128105	-0.03480521263626509
70000	228	0:01:06.734558	-0.035068567496122006
70000	232	0:01:07.343495	-0.038369987680087515
70000	236	0:01:07.953533	-0.03645776309826664
70000	240	0:01:08.558232	-0.035495486692134315
70000	244	0:01:09.170144	-0.03549721539432053
70000	248	0:01:09.780490	-0.037618775041602964
70000	252	0:01:10.387203	-0.03775471313814065
70000	256	0:01:10.994051	-0.0384011196219314
70000	260	0:01:11.598677	-0.040053451455631425
70000	264	0:01:12.211824	-0.039316134871807795
70000	268	0:01:12.822660	-0.040856457040186596
70000	272	0:01:13.428547	-0.03997276267235164
70000	276	0:01:14.036220	-0.04219392310574658
70000	280	0:01:14.640776	-0.04011097497928439
70000	284	0:01:15.247078	-0.04399444247197575
70000	288	0:01:15.853958	-0.04276226497872605
70000	292	0:01:16.461414	-0.04441281681531539
70000	296	0:01:17.070418	-0.04178479710300392
70000	300	0:01:17.682482	-0.042732107827236895
70000	304	0:01:19.633431	-0.04236357854250121
70000	308	0:01:20.281435	-0.03942279731014245
70000	312	0:01:20.890439	-0.042433821452923404
70000	316	0:01:21.497417	-0.043702780239127374
70000	320	0:01:22.101446	-0.04244565160864561
70000	324	0:01:22.707327	-0.04139970662179012
70000	328	0:01:23.317255	-0.04031615176898105
70000	332	0:01:23.925110	-0.04468039875947766
70000	336	0:01:24.527802	-0.0417701353478577
70000	340	0:01:25.138334	-0.04521707527549761
70000	344	0:01:25.740679	-0.04413782006518388
70000	348	0:01:26.351658	-0.043686170970169004
70000	352	0:01:26.959674	-0.043901347224773
70000	356	0:01:27.562109	-0.04376609737984074
70000	360	0:01:28.169733	-0.04483595602020048
70000	364	0:01:28.773541	-0.04481976023922224
70000	368	0:01:29.393518	-0.04629017658406754
70000	372	0:01:30.005043	-0.046335405755349994
70000	376	0:01:30.619385	-0.04513429369914542
70000	380	0:01:31.239190	-0.04516983741572044
70000	384	0:01:31.849520	-0.04471792828195042
70000	388	0:01:32.467538	-0.04730130582420921
70000	392	0:01:33.074146	-0.045163345611464976
70000	396	0:01:33.676626	-0.04361231753374356
70000	400	0:01:34.281202	-0.043763367310710746
70000	404	0:01:36.234485	-0.04496032738018013
70000	408	0:01:36.867549	-0.04406018101279025
70000	412	0:01:37.474842	-0.0442056764777484
70000	416	0:01:38.087045	-0.04577200867855036
70000	420	0:01:38.692297	-0.04624501097535222
70000	424	0:01:39.298250	-0.043951869671455104
70000	428	0:01:39.927846	-0.04478623188228513
70000	432	0:01:40.597118	-0.04622057593432017
70000	436	0:01:41.205314	-0.04418441127519232
70000	440	0:01:41.812691	-0.044839475484407566
70000	444	0:01:42.419654	-0.0444861821442787
70000	448	0:01:43.021280	-0.0449495885272349
70000	452	0:01:43.652908	-0.045160758253335084
70000	456	0:01:44.260563	-0.04424104154451158
70000	460	0:01:44.870168	-0.046462683147256975
70000	464	0:01:45.478339	-0.04433154366832805
70000	468	0:01:46.086500	-0.045962847863599124
70000	472	0:01:46.690410	-0.04449606595773246
70000	476	0:01:47.327540	-0.043478977666297214
70000	480	0:01:47.931218	-0.044330800369486695
70000	484	0:01:48.536835	-0.047247105143422945
70000	488	0:01:49.140346	-0.04606833405371038
70000	492	0:01:49.746291	-0.04334747819837211
70000	496	0:01:50.356191	-0.04316810506418414
70000	500	0:01:50.986157	-0.045939403031249895
70000	504	0:01:52.926613	-0.045777110134227576
70000	508	0:01:53.574311	-0.043358187609163705
70000	512	0:01:54.179807	-0.04648417678310233
70000	516	0:01:54.782687	-0.04628770940851885
70000	520	0:01:55.391965	-0.043369230944870614
70000	524	0:01:56.001315	-0.04482831500826839
70000	528	0:01:56.607643	-0.04403515015651533
70000	532	0:01:57.218443	-0.04513481882627599
70000	536	0:01:57.823481	-0.04668668460426525
70000	540	0:01:58.432693	-0.04541579980023726
70000	544	0:01:59.040796	-0.04433661178372387
70000	548	0:01:59.648602	-0.044829296398277686
70000	552	0:02:00.254949	-0.04623009381782124
70000	556	0:02:00.855213	-0.04221626213532202
70000	560	0:02:01.460930	-0.04387283923673633
70000	564	0:02:02.067436	-0.046460296586300694
70000	568	0:02:02.675260	-0.04623760466077893
70000	572	0:02:03.281106	-0.04456523536179231
70000	576	0:02:03.884354	-0.045292257194819815
70000	580	0:02:04.499361	-0.04490336825250504
70000	584	0:02:05.105082	-0.04454821754508842
70000	588	0:02:05.712603	-0.043815649579473946
70000	592	0:02:06.317693	-0.045406681128313024
70000	596	0:02:06.925186	-0.04464618334609922
70000	600	0:02:07.534620	-0.0468352603298393
70000	604	0:02:09.506996	-0.045659069934305345
70000	608	0:02:10.148243	-0.0421690410159431
70000	612	0:02:10.756217	-0.044188664676276745
70000	616	0:02:11.359537	-0.04508306582788328
70000	620	0:02:11.991525	-0.04291397787217372
70000	624	0:02:12.597678	-0.04401781877934194
70000	628	0:02:13.202209	-0.043488368963495956
70000	632	0:02:13.813326	-0.04572173092223487
70000	636	0:02:14.422334	-0.04332129940688516
70000	640	0:02:15.030768	-0.044072719116984814
70000	644	0:02:15.641815	-0.04366449673263851
70000	648	0:02:16.246977	-0.04422069612592982
70000	652	0:02:16.850898	-0.041348911873959705
70000	656	0:02:17.461982	-0.04199740361955985
70000	660	0:02:18.096338	-0.045766738245863824
70000	664	0:02:18.700312	-0.041812913428146824
70000	668	0:02:19.303798	-0.04356080070473409
70000	672	0:02:19.906839	-0.04389029075186508
70000	676	0:02:20.527921	-0.04329018891017312
70000	680	0:02:21.137332	-0.04384678344033382
70000	684	0:02:21.744152	-0.04601323408557517
70000	688	0:02:22.346879	-0.04265799022021995
70000	692	0:02:22.951909	-0.04365964521111913
70000	696	0:02:23.559383	-0.044470701231767384
70000	700	0:02:24.191260	-0.04546112527007796
70000	704	0:02:26.154508	-0.042216983701435624
70000	708	0:02:26.786318	-0.04320270160589768
70000	712	0:02:27.396209	-0.04272281345658552
70000	716	0:02:28.000182	-0.04201577158423887
70000	720	0:02:28.605184	-0.04401731149594582
70000	724	0:02:29.213771	-0.0431394765485757
70000	728	0:02:29.818320	-0.04518885941992749
70000	732	0:02:30.426806	-0.04459002381213468
70000	736	0:02:31.029464	-0.04294476838031679
70000	740	0:02:31.634738	-0.040527267944980225
70000	744	0:02:32.240307	-0.044135812057016374
70000	748	0:02:32.849219	-0.041014739995099525
70000	752	0:02:33.455812	-0.042649137943166056
70000	756	0:02:34.060863	-0.04402508849005255
70000	760	0:02:34.666777	-0.042592860004093104
70000	764	0:02:35.273107	-0.04496328167961943
70000	768	0:02:35.882117	-0.04193134337696627
70000	772	0:02:36.499556	-0.03948342481003615
70000	776	0:02:37.134496	-0.04208677316689398
70000	780	0:02:37.738626	-0.04169929595192373
70000	784	0:02:38.350358	-0.04315589814875075
70000	788	0:02:38.959319	-0.0449716809472249
70000	792	0:02:39.568484	-0.039454201834150396
70000	796	0:02:40.172770	-0.043336388590345706
70000	800	0:02:40.776039	-0.04218994942238895
70000	804	0:02:42.814990	-0.04120282176860599
70000	808	0:02:43.520853	-0.04190247118385309
70000	812	0:02:44.183524	-0.042803310917169074
70000	816	0:02:44.844323	-0.04153652557083016
70000	820	0:02:45.541580	-0.043428001460798935
70000	824	0:02:46.251105	-0.04030022956631252
70000	828	0:02:46.922788	-0.04284668083845805
70000	832	0:02:47.604307	-0.04329202773094143
70000	836	0:02:48.263511	-0.04054970696446436
70000	840	0:02:48.896590	-0.04031241283176275
70000	844	0:02:49.573184	-0.043550401171266656
70000	848	0:02:50.297841	-0.04120843568364205
70000	852	0:02:51.016463	-0.04385201255691235
70000	856	0:02:51.700652	-0.042325183691722335
70000	860	0:02:52.378640	-0.04061077318029879
70000	864	0:02:53.013371	-0.041323235962584706
70000	868	0:02:53.705981	-0.03937289347556316
70000	872	0:02:54.410073	-0.040540431528683946
70000	876	0:02:55.111843	-0.04157052666770338
70000	880	0:02:55.786761	-0.04083217493607046
70000	884	0:02:56.452964	-0.03788796074448492
70000	888	0:02:57.122424	-0.04178476781424725
70000	892	0:02:57.750079	-0.04287164045965678
70000	896	0:02:58.382595	-0.039350402704046133
70000	900	0:02:59.011400	-0.04099519390270213
70000	904	0:03:01.008154	-0.04183244022232482
70000	908	0:03:01.649252	-0.04350122670414274
70000	912	0:03:02.291089	-0.04301438740381642
70000	916	0:03:02.938873	-0.040335196989860204
70000	920	0:03:03.570224	-0.04291479327763889
70000	924	0:03:04.193488	-0.04099255891565695
70000	928	0:03:04.829800	-0.04153493710696553
70000	932	0:03:05.498126	-0.04248814966653334
70000	936	0:03:06.183524	-0.038896619347669546
70000	940	0:03:06.969064	-0.04112251507081244
70000	944	0:03:07.642219	-0.043255604041912366
70000	948	0:03:08.270733	-0.040751368238202974
70000	952	0:03:08.921878	-0.040499595081591434
70000	956	0:03:09.564699	-0.04129579338847901
70000	960	0:03:10.196948	-0.03961101846408462
70000	964	0:03:10.813090	-0.042261316730282224
70000	968	0:03:11.474287	-0.04234819118227772
70000	972	0:03:12.088678	-0.03911344630095514
70000	976	0:03:12.740025	-0.04153923421299047
70000	980	0:03:13.415784	-0.039964757117173795
70000	984	0:03:14.065932	-0.04074193069617444
70000	988	0:03:14.771480	-0.042331145140099884
70000	992	0:03:15.424469	-0.03715301888969332
70000	996	0:03:16.094616	-0.03946935164187994
70000	1000	0:03:16.720232	-0.042255572526081676
70000	1004	0:03:18.821086	-0.03954571382423668
70000	1008	0:03:19.446127	-0.03951035906864774
70000	1012	0:03:20.059377	-0.041721073328094896
70000	1016	0:03:20.670149	-0.040234492721104125
