size	self.epochs	time_taken	cost
250	0	0:00:01.758439	0
250	5	0:00:03.183071	3.6009965582668793
325	10	0:00:03.442222	3.1117450730953458
400	15	0:00:03.467406	2.813101389856008
475	20	0:00:03.503519	2.6959609784895995
550	25	0:00:03.530633	2.5575347592872646
625	30	0:00:03.562907	2.531336409117114
700	35	0:00:03.609870	2.425572229715834
775	40	0:00:03.654695	2.374711981036837
850	45	0:00:03.688184	2.404321937666853
925	50	0:00:03.719531	2.4467094465477777
1000	55	0:00:03.751376	2.288387954188697
1075	60	0:00:03.784600	2.3170505855812995
1150	65	0:00:03.816696	2.2511501911723086
1225	70	0:00:03.851305	2.215859498007927
1300	75	0:00:03.890348	2.139321567708441
1375	80	0:00:03.930766	2.0803073919049004
1450	85	0:00:03.971782	2.0149025518074772
1525	90	0:00:04.030890	2.011603905063309
1600	95	0:00:04.073204	1.9698856748236
1675	100	0:00:04.120962	1.9290896826937496
1750	105	0:00:04.423422	1.9266620024899153
1825	110	0:00:04.482442	1.9317881875989131
1900	115	0:00:04.540476	1.8980993186710133
1975	120	0:00:04.599194	1.8863600314683795
2050	125	0:00:04.649360	1.8766752760347065
2125	130	0:00:04.697273	1.83762046389921
2200	135	0:00:04.750050	1.8682089073232317
2275	140	0:00:04.811075	1.8182969182163962
2350	145	0:00:04.861605	1.7868955532586728
2425	150	0:00:04.912687	1.7930978306671128
2500	155	0:00:04.966251	1.7138621900327193
2575	160	0:00:05.020590	1.7476504998332725
2650	165	0:00:05.075200	1.7033777626159818
2725	170	0:00:05.133021	1.7054875868992554
2800	175	0:00:05.195362	1.6569625497565714
2875	180	0:00:05.254268	1.6372897366879096
2950	185	0:00:05.312461	1.593378827576657
3025	190	0:00:05.374704	1.6100515364780286
3100	195	0:00:05.434444	1.5885650576745802
3175	200	0:00:05.495336	1.5785199669254462
3250	205	0:00:05.824426	1.5680514420285452
3325	210	0:00:05.913637	1.516539816885651
3400	215	0:00:05.991624	1.5184526565298815
3475	220	0:00:06.063849	1.5076168047618892
3550	225	0:00:06.133313	1.498939104350201
3625	230	0:00:06.208285	1.4242706902406457
3700	235	0:00:06.278080	1.4431909916886274
3775	240	0:00:06.347506	1.4276818514656904
3850	245	0:00:06.418503	1.3872622389936824
3925	250	0:00:06.491044	1.3950576353565773
4000	255	0:00:06.562502	1.3327973763376277
4075	260	0:00:06.642234	1.3473119066700998
4150	265	0:00:06.716358	1.30425856354245
4225	270	0:00:06.793727	1.290658830007962
4300	275	0:00:06.871570	1.2463659104092726
4375	280	0:00:06.948873	1.2418389051905898
4450	285	0:00:07.029446	1.208957846929445
4525	290	0:00:07.108747	1.2155459483370632
4600	295	0:00:07.189191	1.2045171454907762
4675	300	0:00:07.272203	1.2039770081492103
4750	305	0:00:07.649569	1.1599502219105486
4825	310	0:00:07.737883	1.1418486586789711
4900	315	0:00:07.822456	1.1467370773942411
4975	320	0:00:07.909541	1.0826159242115683
