size	self.epochs	time_taken	cost
70000	0	0:00:27.932346	0
70000	5	0:00:29.995067	2.6067510885071474
70000	10	0:00:30.852273	2.264577282496814
70000	15	0:00:31.709043	2.0305884146626783
70000	20	0:00:32.558073	1.8599574372446266
70000	25	0:00:33.407715	1.7428574755118582
70000	30	0:00:34.256013	1.6807902831738253
70000	35	0:00:35.106596	1.6204015514388723
70000	40	0:00:35.954477	1.5840253726326625
70000	45	0:00:36.800122	1.544198649046412
70000	50	0:00:37.646359	1.5210574547619164
70000	55	0:00:39.928898	1.5085431212581593
70000	60	0:00:40.825343	1.4748430663377374
70000	65	0:00:41.674881	1.4581596761787958
70000	70	0:00:42.519501	1.4406452661407596
70000	75	0:00:43.367772	1.4178832792751381
70000	80	0:00:44.214884	1.4117601416035732
70000	85	0:00:45.068212	1.3888097188119526
70000	90	0:00:45.916375	1.3665951329192596
70000	95	0:00:46.768343	1.3593371863573926
70000	100	0:00:47.622219	1.334302212370619
70000	105	0:00:49.902318	1.3218044010275203
70000	110	0:00:50.751877	1.3098915219551397
70000	115	0:00:51.608204	1.2950874479333354
70000	120	0:00:52.460820	1.2810286223126668
70000	125	0:00:53.319026	1.2654851026038272
70000	130	0:00:54.175963	1.2457199043989087
70000	135	0:00:55.028999	1.2275904499031365
70000	140	0:00:55.879083	1.213008409963475
70000	145	0:00:56.734590	1.2115449045762743
70000	150	0:00:57.581237	1.1857626506131216
70000	155	0:00:59.873174	1.170766521769284
70000	160	0:01:00.722430	1.156318902503451
70000	165	0:01:01.575509	1.148171276009371
70000	170	0:01:02.428246	1.1247243633948758
70000	175	0:01:03.275366	1.103905002178245
70000	180	0:01:04.129504	1.100635186192096
70000	185	0:01:04.976638	1.0795848241802875
70000	190	0:01:05.830722	1.0606478295857407
70000	195	0:01:06.679022	1.0540873537868531
70000	200	0:01:07.526999	1.03323369127111
70000	205	0:01:09.795301	1.014246205579541
70000	210	0:01:10.644175	1.0034673900835542
70000	215	0:01:11.495135	0.9858278668705064
70000	220	0:01:12.341156	0.9711091180700567
70000	225	0:01:13.191436	0.9555648319368407
70000	230	0:01:14.048882	0.9387745663210965
70000	235	0:01:14.897912	0.9317145593251606
70000	240	0:01:15.774139	0.9079984633724494
70000	245	0:01:16.622284	0.896281627449871
70000	250	0:01:17.498227	0.8766530035963656
70000	255	0:01:19.792129	0.867110392514334
70000	260	0:01:20.642458	0.8497531537866874
70000	265	0:01:21.511741	0.8342556121835122
70000	270	0:01:22.356288	0.8173141356036231
70000	275	0:01:23.211214	0.8047553757598539
70000	280	0:01:24.066466	0.7864437304270938
70000	285	0:01:24.916295	0.770502481830851
70000	290	0:01:25.769495	0.7544726708198914
70000	295	0:01:26.624086	0.7409250022697981
70000	300	0:01:27.513508	0.7287120628537196
70000	305	0:01:29.823274	0.7100028103852228
70000	310	0:01:30.678928	0.6968386582375807
70000	315	0:01:31.542186	0.6831317971129341
70000	320	0:01:32.505980	0.6665574270015406
70000	325	0:01:33.782732	0.6485202716399627
70000	330	0:01:34.704903	0.6338567195259899
70000	335	0:01:35.558417	0.6247161959794024
70000	340	0:01:36.436397	0.6011033299381854
70000	345	0:01:37.368912	0.5917937919723937
70000	350	0:01:38.214012	0.5771399391376744
70000	355	0:01:40.449821	0.5568910000074699
70000	360	0:01:41.339910	0.5440801055069215
70000	365	0:01:42.430217	0.5289050463530109
70000	370	0:01:43.499599	0.5131381896863013
70000	375	0:01:44.441476	0.5038924423761227
70000	380	0:01:45.352305	0.4879700714580983
70000	385	0:01:46.266811	0.4743731992733692
70000	390	0:01:47.137414	0.4535659630253321
70000	395	0:01:47.989057	0.4419454461646987
70000	400	0:01:48.867823	0.42672961641329116
70000	405	0:01:51.138210	0.4154980330223414
70000	410	0:01:52.024637	0.39705578217179677
70000	415	0:01:53.128687	0.3852464002873396
70000	420	0:01:54.019666	0.37322938279264434
70000	425	0:01:55.022310	0.3623021444307981
70000	430	0:01:56.026193	0.34204566784208507
70000	435	0:01:57.106001	0.33092207018772357
70000	440	0:01:57.983781	0.31998574961787185
70000	445	0:01:58.900799	0.30481561141115154
70000	450	0:01:59.757294	0.29406031129961835
70000	455	0:02:02.014151	0.2797018791803069
70000	460	0:02:02.869203	0.26874292728391114
70000	465	0:02:03.719416	0.25862957246049356
70000	470	0:02:04.565449	0.2445955617656603
70000	475	0:02:05.416112	0.23021913375085173
70000	480	0:02:06.261819	0.21835491876801572
70000	485	0:02:07.109542	0.21175903057571188
70000	490	0:02:07.958536	0.19804912550803466
70000	495	0:02:08.810191	0.18292237549269424
70000	500	0:02:09.659698	0.1734546220175404
70000	505	0:02:11.902530	0.16376207306653495
70000	510	0:02:12.760624	0.15312123170863573
70000	515	0:02:13.605229	0.13993396564113475
70000	520	0:02:14.466785	0.12987454027788847
70000	525	0:02:15.309868	0.12160795742848042
70000	530	0:02:16.150414	0.11448352781229741
70000	535	0:02:16.997707	0.10199900128019417
70000	540	0:02:17.846924	0.09306917378657434
70000	545	0:02:18.714412	0.0845568667225609
70000	550	0:02:19.554736	0.07422393467166262
70000	555	0:02:21.843535	0.06394665835066017
70000	560	0:02:22.695312	0.057076229403735315
70000	565	0:02:23.548357	0.045063838265047645
70000	570	0:02:24.391965	0.04075086326610104
70000	575	0:02:25.235646	0.03226226425261149
70000	580	0:02:26.075915	0.024466491571081522
70000	585	0:02:26.917902	0.016787193433834023
70000	590	0:02:27.760407	0.010569987581951145
70000	595	0:02:28.607282	0.0012060412471208213
70000	600	0:02:29.442082	-0.004522648397101472
70000	605	0:02:31.657601	-0.0093339830579335
70000	610	0:02:32.504963	-0.017787054067645434
70000	615	0:02:33.342573	-0.02220311265640864
70000	620	0:02:34.175583	-0.028552037324680576
70000	625	0:02:35.014467	-0.03370383903219973
70000	630	0:02:35.847410	-0.04155774682575006
70000	635	0:02:36.691470	-0.045951366955780455
70000	640	0:02:37.532605	-0.05122647404653384
70000	645	0:02:38.373384	-0.05253609002614104
70000	650	0:02:39.212071	-0.057359886220818744
70000	655	0:02:41.414054	-0.06164968707266247
70000	660	0:02:42.260704	-0.06493882502101529
70000	665	0:02:43.100324	-0.06978960542486529
70000	670	0:02:43.929512	-0.07412052088397347
70000	675	0:02:44.766827	-0.07374307501785389
70000	680	0:02:45.605909	-0.07285656257312594
70000	685	0:02:46.449391	-0.07389493873469968
70000	690	0:02:47.282164	-0.07347994535073346
70000	695	0:02:48.117915	-0.0737753444448851
70000	700	0:02:48.947647	-0.07446464321886857
70000	705	0:02:51.178440	-0.07628134048855291
70000	710	0:02:52.024108	-0.07284054027007864
70000	715	0:02:52.886743	-0.07360215998787445
70000	720	0:02:53.722462	-0.0791569494089112
70000	725	0:02:54.578296	-0.07846684838620356
70000	730	0:02:55.411790	-0.07761887324300473
70000	735	0:02:56.245865	-0.07737106789632167
70000	740	0:02:57.089606	-0.07715765913088612
70000	745	0:02:57.925935	-0.07797179824156682
70000	750	0:02:58.759057	-0.07790870564584591
70000	755	0:03:00.957382	-0.07886399231310912
70000	760	0:03:01.812761	-0.07825855575606311
70000	765	0:03:02.655634	-0.07481553610205775
70000	770	0:03:03.497252	-0.07769868375264696
70000	775	0:03:04.337934	-0.07842408184424117
70000	780	0:03:05.187688	-0.07916256756688847
70000	785	0:03:06.025840	-0.07649383243593687
70000	790	0:03:06.861984	-0.07647353395673089
70000	795	0:03:07.706107	-0.08175299658085688
70000	800	0:03:08.543610	-0.0805680371241809
70000	805	0:03:10.754898	-0.07855503519458146
70000	810	0:03:11.606593	-0.07939192154726386
70000	815	0:03:12.440773	-0.07862914350112613
70000	820	0:03:13.279671	-0.07735213062095114
70000	825	0:03:14.113666	-0.07926763451998033
70000	830	0:03:14.968340	-0.08182344492990294
70000	835	0:03:15.807977	-0.07991165831068314
70000	840	0:03:16.648081	-0.07931757736920937
70000	845	0:03:17.490591	-0.07893773136324526
70000	850	0:03:18.324323	-0.08119819807542988
70000	855	0:03:20.521507	-0.0831488973162915
70000	860	0:03:21.364189	-0.07927348554522888
70000	865	0:03:22.204264	-0.08113409927232969
70000	870	0:03:23.041100	-0.07935189909206039
70000	875	0:03:23.876868	-0.08315535302963026
70000	880	0:03:24.720532	-0.07724504074370153
70000	885	0:03:25.563714	-0.07907643382749212
70000	890	0:03:26.398625	-0.08385148178166042
70000	895	0:03:27.235292	-0.0814693668761475
70000	900	0:03:28.066219	-0.08183121415526874
70000	905	0:03:30.278318	-0.08267555108544776
70000	910	0:03:31.118545	-0.0814520336687731
70000	915	0:03:31.952609	-0.08103853279097287
70000	920	0:03:32.791878	-0.0796253168827945
