size,epochs,time_taken,cost
7500,0,2.633296,0
7500,40,5.372452,1.4792372419704298
7650,44,5.536003,1.3656383918439388
7800,48,5.660487,1.3186256509491654
7950,52,5.781424,1.2960676277181986
8100,56,5.89849,1.2408995785813373
8250,60,6.016093,1.2377675885288872
8400,64,6.132397,1.2224007837727027
8550,68,6.247699,1.183589584361865
8700,72,6.366098,1.1519055355374135
8850,76,6.490256,1.122717738905352
9000,80,6.619131,1.0938092942725446
9150,84,6.745693,1.0680776918772865
9300,88,6.87568,1.0421717110329012
9450,92,7.009042,1.012836039142273
9600,96,7.149688,0.9932203710990551
9750,100,7.277237,0.9538637412870375
9900,104,7.447366,0.9278785538533479
10050,108,7.584331,0.9017461907151088
10200,112,7.71431,0.872640888203835
10350,116,7.846416,0.8309022461061012
10500,120,7.981006,0.8063748532832495
10650,124,8.115688,0.7935164736938792
10800,128,8.250903,0.7835114674712228
10950,132,8.390573,0.7446211108355352
11100,136,8.528082,0.7254579457573921
11250,140,8.672291,0.6980185398549876
11400,144,8.813593,0.6756670801374343
11550,148,8.956682,0.655547121956375
11700,152,9.102344,0.6250803276454174
11850,156,9.24975,0.604635785875634
12000,160,9.397849,0.59004483127365
12150,164,9.546974,0.561055317647551
12300,168,9.698602,0.5507044588917055
12450,172,9.854678,0.5256481175606796
12600,176,10.01252,0.5176635119792391
12750,180,10.179459,0.49903317112247686
12900,184,10.342026,0.48164347729994683
13050,188,10.511341,0.4754912388739237
13200,192,10.680608,0.462701741965767
13350,196,10.850592,0.45493348127967614
13500,200,11.012643,0.4425708044628371
13650,204,11.233788,0.4440592041052098
13800,208,11.403021,0.4407294488494932
13950,212,11.571915,0.43791867811126717
14100,216,11.744929,0.44491904486246847
14250,220,11.918932,0.44234956509793705
14400,224,12.097902,0.4406865797886706
14550,228,12.276839,0.44408796540834145
14700,232,12.457385,0.4368096604888831
14850,236,12.639559,0.44799089740015846
15000,240,12.820722,0.4421874942467319
15150,244,13.004767,0.43755513267480445
15300,248,13.191126,0.4413570718013224
15450,252,13.376306,0.4380897316025806
15600,256,13.56481,0.4429675040470192
15750,260,13.759298,0.4420496764392133
15900,264,13.950792,0.4429336028945926
16050,268,14.144001,0.4422758165474751
16200,272,14.338403,0.441222960601287
16350,276,14.534736,0.441952415157475
16500,280,14.737844,0.44899032695426405
16650,284,14.943786,0.4466308457632089
16800,288,15.149703,0.4381296703954406
16950,292,15.447994,0.44174479311097276
17100,296,15.707326,0.4406222512123995
17250,300,15.950268,0.44284185459869735
17400,304,16.272026,0.4406458541686085
17550,308,16.490051,0.43745492995199337
17700,312,16.713891,0.4386108139825701
17850,316,16.938641,0.4430138436298542
18000,320,17.165605,0.44850192232931796
18150,324,17.393598,0.4424536392165457
18300,328,17.619847,0.43840155849845897
18450,332,17.851408,0.4415805089729983
18600,336,18.082315,0.44089319682192285
18750,340,18.31678,0.43385075022315134
18900,344,18.55443,0.437274289590872
19050,348,18.789149,0.43952320059005895
19200,352,19.020433,0.4347213399492562
19350,356,19.261276,0.4423851260977353
19500,360,19.496656,0.44023922876966726
19650,364,19.72971,0.43715995546841446
19800,368,19.970167,0.4368341416145036
19950,372,20.203715,0.4340658830179932
20100,376,20.458036,0.4322217003502489
20250,380,20.705585,0.4350071416102003
20400,384,20.956226,0.43654342731034385
20550,388,21.199423,0.43503939763702476
20700,392,21.438478,0.43269580815764813
20850,396,21.690117,0.4331116719482939
21000,400,21.940534,0.4354201939653901
21150,404,22.197547,0.43248445833832155
21300,408,22.457502,0.4327128195616889
21450,412,22.729473,0.4319813224233886
21600,416,22.990464,0.4295187597196178
21750,420,23.256167,0.4308063596992431
21900,424,23.522695,0.43299273065748956
22050,428,23.795784,0.42512690859748725
22200,432,24.061488,0.4244214555472433
22350,436,24.322,0.42460957631260304
22500,440,24.578876,0.42425073440785577
22650,444,24.843664,0.4241905306014589
22800,448,25.105752,0.42061548377892016
22950,452,25.370564,0.4252273749122441
23100,456,25.638421,0.41661064269472176
23250,460,25.905489,0.4222207448515242
23400,464,26.172513,0.42098845642656124
23550,468,26.444687,0.4220016464493315
23700,472,26.717162,0.42061879076491726
23850,476,26.991641,0.4205310660925361
24000,480,27.277239,0.42117288426465777
24150,484,27.554355,0.4214220365180779
24300,488,27.834044,0.4180192314471185
24450,492,28.120001,0.4251061001921231
24600,496,28.404505,0.4210821596020329
24750,500,28.696139,0.42165858442784715
24900,504,29.082898,0.4198369367668714
25050,508,29.376402,0.4214073552119034
25200,512,29.6757,0.4194420804619671
25350,516,29.96516,0.42122205118511974
25500,520,30.252851,0.4213903231337
25650,524,30.557142,0.4177519417877416
25800,528,30.852152,0.42320979964036076
25950,532,31.152515,0.42040798361841947
26100,536,31.449452,0.42051792284378026
26250,540,31.749991,0.41583774102994786
26400,544,32.061226,0.4163978073379324
26550,548,32.363596,0.4178953363070468
26700,552,32.671364,0.41846625643000607
26850,556,32.993635,0.41633264869614695
27000,560,33.304612,0.41265166366627887
27150,564,33.619813,0.41758561459724214
27300,568,33.937378,0.4176276056500996
27450,572,34.256184,0.41428018999122596
27600,576,34.574586,0.41184957424168395
27750,580,34.906102,0.41428183278462793
27900,584,35.23054,0.41434046209356923
28050,588,35.570282,0.41636810985225753
28200,592,35.911182,0.4170920483602188
28350,596,36.247234,0.4143811820212187
28500,600,36.584805,0.4150785947912309
28650,604,36.923295,0.4110681183224891
28800,608,37.261105,0.41194639405007594
28950,612,37.605871,0.4151733059556772
29100,616,37.951492,0.4116325399127436
29250,620,38.285857,0.4129963646355691
29400,624,38.618049,0.4141938804696828
29550,628,38.94969,0.4163344986668448
29700,632,39.285868,0.41195985712861255
