size,epochs,time_taken,cost
7500,0,2.63516,0
7500,40,5.296203,1.4792372419704298
7575,44,5.42753,1.3597358538582671
7650,48,5.539033,1.321550885704595
7725,52,5.64333,1.276068093902603
7800,56,5.744597,1.261865042284153
7875,60,5.866936,1.2224740657251287
7950,64,5.993235,1.20423271740429
8025,68,6.091867,1.1797441938974937
8100,72,6.190383,1.1522958853459415
8175,76,6.289186,1.1108322903068846
8250,80,6.389667,1.087891200667546
8325,84,6.490843,1.0645479819362202
8400,88,6.591749,1.0441227325387996
8475,92,6.708634,1.012710086876656
8550,96,6.809647,0.984284799117667
8625,100,6.924894,0.9605406895963088
8700,104,7.076231,0.9402108738556115
8775,108,7.190302,0.907383801702261
8850,112,7.31251,0.8813622583188402
8925,116,7.420547,0.8574556595842768
9000,120,7.527168,0.8389776846922802
9075,124,7.634451,0.8220586009015349
9150,128,7.741457,0.7797704467271209
9225,132,7.851339,0.7658991068628406
9300,136,7.976981,0.732989508639624
9375,140,8.08572,0.7152649769214631
9450,144,8.1993,0.6916443321114886
9525,148,8.312069,0.668290555650896
9600,152,8.426346,0.6485465575776436
9675,156,8.538649,0.6206601626686372
9750,160,8.653514,0.5956791838260649
9825,164,8.767769,0.5825030253651389
9900,168,8.882059,0.5607685693390992
9975,172,8.995828,0.547118617183484
10050,176,9.110946,0.5227043370630876
10125,180,9.232339,0.5104666516376731
10200,184,9.356416,0.49772757241835636
10275,188,9.479281,0.4813581142782415
10350,192,9.618947,0.46660510206842776
10425,196,9.747387,0.4721289877309818
10500,200,9.874972,0.4478815924677885
10575,204,10.057852,0.45179336657885094
10650,208,10.190726,0.4507732102922728
10725,212,10.320125,0.4554375302558712
10800,216,10.447416,0.4537539041171046
10875,220,10.57112,0.44584766183541835
10950,224,10.694109,0.4520702561666824
11025,228,10.817881,0.44959939947407124
11100,232,10.942152,0.44302292492446055
11175,236,11.084931,0.44623062643613337
11250,240,11.21168,0.4486862995187419
11325,244,11.338807,0.45384921553591256
11400,248,11.466145,0.44736091530165917
11475,252,11.594701,0.45026164398281976
11550,256,11.724576,0.44855757777450483
11625,260,11.854269,0.44793462566947717
11700,264,11.985261,0.4477234077724946
11775,268,12.116412,0.4504668161540902
11850,272,12.251804,0.4580431750496678
11925,276,12.386366,0.44801093467562586
12000,280,12.522733,0.44722678538882554
12075,284,12.658639,0.44900237169386165
12150,288,12.794197,0.4501763804601584
12225,292,12.930311,0.4541498576747983
12300,296,13.066988,0.4542209463315859
12375,300,13.206319,0.4516072992601556
12450,304,13.398057,0.44520331686497694
12525,308,13.537751,0.44709371598243974
12600,312,13.678114,0.4457461316921892
12675,316,13.819127,0.4503680322888954
12750,320,13.960584,0.4433274703841332
12825,324,14.103139,0.4443816027930812
12900,328,14.247929,0.4420830283677232
12975,332,14.392017,0.4441299233126049
13050,336,14.538849,0.4384280891820621
13125,340,14.687126,0.44550877773636954
13200,344,14.851243,0.44804595953462206
13275,348,15.000322,0.4489808670639449
13350,352,15.150608,0.4407882518314566
13425,356,15.300615,0.4463688983832542
13500,360,15.452947,0.44783619418370896
13575,364,15.603296,0.4425798822341234
13650,368,15.754312,0.4403577928474247
13725,372,15.906751,0.44951650905448065
13800,376,16.059551,0.44542306362632067
13875,380,16.214881,0.4401136464348419
13950,384,16.37016,0.44493616447108186
14025,388,16.528813,0.4438689608108703
14100,392,16.684872,0.4397867417621625
14175,396,16.843041,0.4445789188721823
14250,400,17.007965,0.43817262081472635
14325,404,17.178147,0.44368835752732083
14400,408,17.34796,0.44102471510500957
14475,412,17.516661,0.44238601861534804
14550,416,17.682235,0.4422645002852245
14625,420,17.852822,0.4422870995314364
14700,424,18.019881,0.4399688784516182
14775,428,18.189275,0.4393254394363575
14850,432,18.358293,0.4382922093521972
14925,436,18.531085,0.4390198853638197
15000,440,18.698792,0.44006752565494145
15075,444,18.871138,0.44591125203745
15150,448,19.038636,0.43642197498965674
15225,452,19.208411,0.4426873152784467
15300,456,19.383054,0.4425317091213578
15375,460,19.55687,0.4457212855066582
15450,464,19.730789,0.4401574371035369
15525,468,19.90616,0.43871697701347256
15600,472,20.082517,0.44006748447870025
15675,476,20.26166,0.4415217931266276
15750,480,20.43933,0.4396363561274796
15825,484,20.620256,0.43495689508809937
15900,488,20.800977,0.43792999921316234
15975,492,20.979435,0.4432390908597437
16050,496,21.159618,0.4381342818503379
16125,500,21.34144,0.4352494843972758
16200,504,21.59428,0.44361280434640166
16275,508,21.78584,0.442729386750577
16350,512,21.966129,0.4368293747560457
16425,516,22.143825,0.43975984191278095
16500,520,22.326272,0.44063708359376086
16575,524,22.509032,0.4364041622803673
16650,528,22.694061,0.4414468449485801
16725,532,22.880605,0.43221022853007324
16800,536,23.117947,0.4361505319220698
